date,real,nominal
1927-12-01,279.26,17.660
1928-01-01,277.83,17.570
1928-02-01,276.13,17.260
1928-03-01,308.44,19.280
1928-04-01,315.96,19.750
1928-05-01,318.10,20.000
1928-06-01,306.20,19.140
1928-07-01,310.84,19.430
1928-08-01,333.88,20.870
1928-09-01,334.29,21.140
1928-10-01,344.82,21.680
1928-11-01,386.17,24.280
1928-12-01,389.55,24.350
1929-01-01,411.79,25.740
1929-02-01,409.39,25.590
1929-03-01,410.83,25.530
1929-04-01,419.89,25.940
1929-05-01,399.56,24.830
1929-06-01,438.51,27.410
1929-07-01,456.68,28.880
1929-08-01,501.43,31.710
1929-09-01,476.92,30.160
1929-10-01,381.88,24.150
1929-11-01,330.81,20.920
1929-12-01,341.16,21.450
1930-01-01,364.59,22.790
1930-02-01,374.62,23.280
1930-03-01,390.92,24.150
1930-04-01,400.69,24.900
1930-05-01,396.42,24.490
1930-06-01,333.17,20.460
1930-07-01,349.54,21.210
1930-08-01,354.31,21.370
1930-09-01,306.36,18.590
1930-10-01,280.87,16.940
1930-11-01,276.40,16.570
1930-12-01,260.66,15.340
1931-01-01,276.83,16.090
1931-02-01,312.43,17.930
1931-03-01,292.68,16.690
1931-04-01,266.32,15.090
1931-05-01,232.80,13.020
1931-06-01,268.68,14.830
1931-07-01,248.75,13.730
1931-08-01,251.10,13.860
1931-09-01,177.09,9.710
1931-10-01,193.33,10.530
1931-11-01,176.80,9.500
1931-12-01,152.14,8.120
1932-01-01,150.94,7.890
1932-02-01,160.84,8.290
1932-03-01,142.84,7.310
1932-04-01,114.74,5.830
1932-05-01,89.26,4.470
1932-06-01,89.11,4.430
1932-07-01,122.70,6.100
1932-08-01,170.01,8.390
1932-09-01,164.95,8.080
1932-10-01,143.16,6.960
1932-11-01,135.75,6.550
1932-12-01,143.88,6.890
1933-01-01,147.18,6.940
1933-02-01,121.92,5.660
1933-03-01,127.02,5.850
1933-04-01,180.64,8.320
1933-05-01,209.30,9.640
1933-06-01,235.01,10.910
1933-07-01,207.79,9.950
1933-08-01,229.84,11.090
1933-09-01,203.73,9.830
1933-10-01,185.70,8.960
1933-11-01,204.76,9.880
1933-12-01,209.32,10.100
1934-01-01,231.50,11.170
1934-02-01,221.32,10.760
1934-03-01,221.12,10.750
1934-04-01,215.15,10.460
